"y.1947","y.1948","y.1949","y.1950","y.1951","y.1952","y.1953","y.1954","y.1955","y.1956","y.1957","y.1958","y.1959","y.1960","y.1961","y.1962","y.1963","y.1964","y.1965","y.1966","y.1967","y.1968","y.1969","y.1970","y.1971","y.1972","y.1973","y.1974","y.1975","y.1976","y.1977","y.1978","y.1979","y.1980","y.1981","y.1982","y.1983","y.1984","y.1985","y.1986","y.1987","y.1988","y.1989","y.1990","y.1991","y.1992","y.1993","y.1994","y.1995","y.1996","y.1997","y.1998","y.1999","y.2000","y.2001","y.2002","y.2003","y.2004","y.2005","y.2006","y.2007","y.2008","y.2009","y.2010","y.2011","y.2012","y.2013","y.2014","y.2015","y.2016"
0.0074462903429348,0.00709810600996013,0.00650259708336516,0.00633310795729905,0.00609297318460438,0.00623931957309397,0.00591501873534599,0.00546098791129019,0.00587342795789565,0.00559967021499545,0.00479214337036458,0.00559724375672248,0.00447291092479763,0.0048827148025926,0.00473798991509098,0.00396479122899192,0.00485189080962454,0.00495428031481754,0.00461899998041416,0.00494467703338404,0.00467043288710707,0.00431822387959151,0.00450308972534234,0.00389162319972325,0.00428926177065386,0.00368838052805054,0.00407739829884368,0.00340320034226236,0.0037753940387401,0.00355602217679314,0.00328733696105942,0.00330731034635308,0.00315863004132922,0.0029101135172769,0.00310785592526886,0.00270925708544394,0.00274631995181437,0.00277872886318194,0.00241969288395118,0.00247216893246419,0.00230762286275429,0.00233841139089819,0.00208087711632283,0.00207031865205101,0.00196328323285454,0.00201057765053223,0.00186585094156722,0.00179216012994383,0.00192263026710819,0.0017977027521217,0.00173301599256744,0.00183471305758201,0.00160672024884991,0.00160669094075707,0.00173554438562845,0.00150431156143386,0.0015753228831938,0.00149126585221699,0.00140481086440066,0.00135298345496016,0.00141354829050633,0.00140470799596495,0.00125310777833974,0.00151625363378033,0.00123853337090199,0.00134824512927519,0.0012665535566874,0.00129694847484896,0.0013107879030546,0.00118757822902736
0.00776238533027807,0.00744955884814028,0.00679283583405405,0.00670495046653794,0.0064907267766597,0.00658503847449004,0.00617687571515447,0.00583435866837905,0.00616617544965413,0.00594173334213513,0.00514276309749527,0.00586922292457882,0.0048043577061335,0.00522418508582791,0.00507329008154038,0.00435430755306985,0.00527502896961499,0.00525220351556705,0.00497663091474147,0.00528719056272884,0.00500661422135451,0.00461769851641079,0.00478385231598976,0.00419285568163529,0.0046058633209516,0.00399660574395307,0.00435447509578322,0.00373854426175313,0.00404700265801631,0.00382216502444778,0.00356904473069831,0.00356551688213444,0.0034168698746798,0.00318892427786697,0.00335048487268426,0.0029592380450093,0.00297104686345748,0.00299899762219313,0.00264063756050811,0.00269268728442148,0.00253530548166145,0.00253896362460327,0.00228437508656704,0.0022740992285941,0.00217821074542471,0.00221287059342629,0.0020579587978706,0.00200495482217971,0.00212446150645412,0.00199912378742463,0.00194233315858861,0.0020264670319049,0.00180389547296428,0.00182996985970203,0.00192800137501133,0.00171837261520036,0.00177515665919626,0.00169757646175975,0.00162055339808652,0.00158715404271026,0.00163299449635497,0.00162530308216155,0.00148962510822155,0.00174290390616621,0.00147396710796035,0.0015832708173539,0.00150245591459401,0.00153636643992244,0.00154314290114734,0.00141984043501675
0.00848476666071261,0.00811024514037422,0.00743452767036799,0.00727836004142774,0.00700039333033479,0.00711457802676505,0.00675670463129064,0.00626073028553748,0.00673946273518697,0.00645316601943056,0.00552990649165224,0.00642940832191885,0.00521421371267836,0.00569289230218086,0.00550285346764175,0.00463353522210523,0.00563674250808163,0.00572428032587298,0.00533509276096356,0.00570462630514396,0.00541255501977442,0.00501139983520089,0.00521864048109918,0.00454012842642358,0.00500377258278569,0.00432796071977337,0.00474744166298096,0.0040206523372057,0.00441916486749293,0.00417459109792134,0.00390721555047156,0.00389240586639752,0.00374870648693898,0.00346499090518512,0.00367410868838307,0.00323315121582739,0.00327176566861215,0.00332257811515456,0.00291710571329747,0.00296412119698371,0.00278369021152127,0.00282768902569468,0.00253236024320669,0.00252204183015706,0.0024073300147435,0.00245187618176063,0.00229777886069571,0.00221347600270025,0.00234842948717832,0.00221730874709119,0.002144708762773,0.00224473935696578,0.00199892680346596,0.00200032325807658,0.00212386516145518,0.00187830319769667,0.00196211830986369,0.0018610184182335,0.00176104843420516,0.00171128641982328,0.00176746496392436,0.00176021327724191,0.00159467569417098,0.00187885619247008,0.00157547388023828,0.00169876379414996,0.0016065398365843,0.00163752794691911,0.00165814163689601,0.00152931289750043
0.00895904411485007,0.00858157971914232,0.00795348986383972,0.00781227626068067,0.00742784790009348,0.00756700677187427,0.00726343283253839,0.00672252673207347,0.00717114745277236,0.00688779170393624,0.00599571189928528,0.00691970647565029,0.00565329578641449,0.00611766593097064,0.00598301963329468,0.00509455448313019,0.00603750391014614,0.00617365610293662,0.00581893257690224,0.00612830181066261,0.00577478642937939,0.00539457024442507,0.00563291463821813,0.00492805283925688,0.00537135369031816,0.00468180837701843,0.00515657279251173,0.00437013752799549,0.0047755324017203,0.00454119279392501,0.00423302337817354,0.00424376026487556,0.00407746900162494,0.00376317602690933,0.00398416864860231,0.00353442259644871,0.00356035223667436,0.00360305107858924,0.00319218171287784,0.00325295453170835,0.00304408004430863,0.00308343929299388,0.00279458288910898,0.00277353368570384,0.00264840393778811,0.00269585673605565,0.00254620206581924,0.00244464938092919,0.00259172567071537,0.00244856272444648,0.00235411279411896,0.00248566016147409,0.00222129849766726,0.00220043882803702,0.00235065289929923,0.00209188701811931,0.00216091465084462,0.00206819789496686,0.00196903417091983,0.00190608384144425,0.00196365559135937,0.00197395173324363,0.0017885996466541,0.00208169217587189,0.00177692277642606,0.00189530626488394,0.00180595213774376,0.00184111795745201,0.00185727279649204,0.00171492056512763
0.00970104911624706,0.00928728215485431,0.00859287824508268,0.00847467567873915,0.00805846362631326,0.00821959177136862,0.00788297691899674,0.00738603523996907,0.00775298313095078,0.00748168582332196,0.00659582982939225,0.00750647575078832,0.0061769874278727,0.00665724378216097,0.0065347662127573,0.00563923457583605,0.00662585416143942,0.00673593981417926,0.00643952872510774,0.00671799241600055,0.00631940654912937,0.00593097317555879,0.00615978519012792,0.00542819069111502,0.00586268947436606,0.00513771700681423,0.00563619409981095,0.0048171287458343,0.005219290356172,0.00498416787348795,0.0046336924668566,0.00466782598875776,0.0044645720201657,0.00413830106022539,0.00436564299273467,0.00388419676651098,0.00390487844420806,0.0039332152063087,0.00349338527554129,0.00357356879419627,0.0033412269587617,0.00335674016687673,0.00307098940587071,0.00303180751156916,0.00290850590006052,0.00295193788021359,0.00278530205430886,0.00268567309041384,0.00283586224026188,0.00267826456876111,0.0025708588305601,0.00271638930446671,0.00242373396870921,0.00240648306227484,0.00256105549473049,0.00228949630732351,0.00233890260896184,0.00225162675130916,0.0021484241804582,0.00208292879357006,0.00214390339328272,0.00215564975507277,0.00196401176053897,0.00226812962032727,0.00195275289062529,0.00206946742825452,0.00198183998370157,0.00202265491584283,0.00202935720539306,0.0018716083767871
0.0104914026590106,0.0100268813792552,0.00928056526643505,0.00914930837975799,0.00868561923747379,0.00885174555669083,0.00853255816896506,0.00791412138545911,0.00839622933114334,0.00809018198152525,0.00708518858132912,0.00813164892993362,0.00669978325570627,0.00722443350718881,0.0070734669332858,0.00607367343366019,0.00713442266115686,0.00728763186524484,0.0068966043312124,0.00722888936061907,0.00681413317263303,0.00639406484768118,0.00666218691042578,0.00585584138883902,0.00635575018341238,0.00556782452321224,0.00610874148715439,0.00522041807151211,0.00566855763364581,0.00541169066507966,0.00506758160163541,0.00506713226406641,0.00487795532345221,0.00450829952974481,0.004757135122312,0.00425103837086936,0.00427065204367957,0.0043200542655859,0.003846984754753,0.00391510400970559,0.0036723345096031,0.00371386557056938,0.00338487427406243,0.00335473225929739,0.00321175369674005,0.00325912362807371,0.00309325581574457,0.00296914563907268,0.00312985198215856,0.00296726825462944,0.00284715429613631,0.00299492651535591,0.00268845771417584,0.00265539436588831,0.00281834888073617,0.00252493934016,0.00259308731265937,0.0024807742022683,0.00236487162326282,0.00229199635067111,0.00234964954811377,0.00236563631136787,0.00215062874343443,0.00247534713106251,0.00213439241557047,0.00226445371814406,0.00216416342678975,0.00220332170402337,0.00222055101383021,0.00205756043884991
0.0111383883448069,0.0106663152202868,0.00991798832375303,0.00980645483502241,0.0092701434080937,0.00944203838087009,0.00913273595981602,0.00852218171564211,0.00895475534350712,0.00865884732617464,0.00766802925879311,0.0087200637280618,0.00723711019845412,0.00777294150275963,0.00764565283006629,0.00662462427230094,0.0076841402262816,0.00784605236167522,0.00749948407339858,0.0077872811790697,0.00732458815688487,0.00690952649292499,0.00718787726078567,0.00635687863675251,0.00684434195135058,0.00603030705060967,0.00660857105752624,0.00567618214525315,0.00612681602538979,0.00587427798560744,0.00549270094799935,0.00551229462066362,0.00529700760743751,0.00490478419794414,0.00516241241904121,0.00463111643686976,0.00464674408965568,0.00468868712134882,0.00419502471371595,0.00427875356228405,0.00400854293327818,0.00403965289292853,0.00371538441759386,0.00366925918865161,0.00352512586570242,0.00357058581263152,0.00339938610711099,0.0032685736096742,0.00343479803331667,0.00326110735058877,0.0031249406100416,0.00329430970190627,0.00296594307929912,0.00292531934166475,0.00310060881749143,0.00279673926366151,0.00285045983993722,0.00274581390344361,0.002626298899467,0.00254757085973828,0.0026073712837474,0.00263271464674867,0.0024063009459182,0.00274066473635737,0.00239423439297611,0.00252154584357073,0.00242389283817504,0.00246735042518659,0.00247919577736898,0.00230432165475656
0.0121020266145179,0.0116183235824121,0.0107472396900545,0.0106560266178319,0.0101280193584323,0.0102329232670495,0.00983022818268265,0.00926471853331197,0.00972771475611325,0.00943369022179938,0.00832223199642936,0.00942523733893695,0.00786924931761311,0.00850315830016337,0.00829342941588042,0.00718463328608349,0.00842307096762063,0.00851313440961668,0.00813851543551614,0.0084816047971006,0.00802185750935802,0.00754075845742371,0.00781173381966244,0.00692827908112036,0.00748304025905307,0.00658790281112347,0.00716870633080913,0.00621261876973412,0.006677862995807,0.00639495298211111,0.00601826639565583,0.00600108743558864,0.00578592488138363,0.00537509169899414,0.00563660628551612,0.00504401208173088,0.0050743118816593,0.00513383922126986,0.00457976009459382,0.00466196690339578,0.00437793979967179,0.00441311629910017,0.0040556888833881,0.00400209733647405,0.00386584609050269,0.00390221701601624,0.00370979238432538,0.00358622692054836,0.00374746396676481,0.00357014639846941,0.00343686239613428,0.00359261280569132,0.00324584130536095,0.00322864391978418,0.00337978373620512,0.00306960103420895,0.0031358229074481,0.00301882888970538,0.00288223936797027,0.00281673848377554,0.00287402275889682,0.00289064549804932,0.00266499320811293,0.00301918647702187,0.00264582506690818,0.002788050578776,0.00268156080764584,0.00272603147419939,0.00274265292294613,0.00256598076559347
0.0131221044222682,0.0125940898240694,0.0116234425712415,0.011576967720768,0.0110144151186238,0.0111474982431967,0.01068684438137,0.0101495989848674,0.0105366720319738,0.0102551864506935,0.00912235239702109,0.0102289697702397,0.00859032708977114,0.00923969112512782,0.00905163728487162,0.00793321298539982,0.00923301887559,0.00927110671055115,0.00894702806182823,0.00926937119104956,0.00874815845845858,0.00823518787090997,0.00850850739106457,0.00758012589509714,0.00815046196313651,0.00720102987360534,0.00781398687003911,0.00681846744506147,0.00727161820191358,0.00697796737799712,0.00655913779610741,0.00655469157632216,0.00630267729108377,0.00587685196024403,0.00613815714593005,0.00551793914234554,0.00552512850330606,0.00556967794651731,0.00498548826909405,0.00508431071989795,0.00477908886908561,0.00478415322373225,0.00441747805650004,0.00435362262033421,0.00421102856798968,0.00424391428476878,0.00403031455759446,0.00390763580634639,0.00407702574645882,0.0038800317728719,0.00373265209455644,0.003900426394119,0.00352297817380997,0.00351161428473551,0.00366670130606337,0.00334127017163388,0.00338642261672304,0.00327039754471278,0.00313421746007844,0.00306734486013577,0.00312272648608377,0.00314403230634718,0.00290775237735493,0.00327816099473974,0.00288827798075704,0.00303293436517369,0.002923645686764,0.00297583984991631,0.00298171984760871,0.00278400211021063
0.0140910012552912,0.0135076672898229,0.0125356185329326,0.0124908588190688,0.0118200589801025,0.012042762630185,0.0116227163513076,0.010943061486958,0.0113517532431852,0.0110383285656543,0.00987577130022825,0.0110857148902699,0.00930800280362047,0.00992920241864705,0.00982396738075851,0.00865613114785796,0.00992013281868509,0.0100264601302994,0.0096873670050271,0.00998610978995001,0.00937311648410207,0.00885216823802152,0.00918684839639683,0.0081810680525966,0.0087699339103468,0.0077731959051838,0.00847562438020534,0.00737030905822106,0.00785321641170961,0.00755050150461377,0.0070749776350466,0.00709686455840246,0.00681571300263651,0.00634657371070494,0.00662977155683433,0.00600521887788825,0.0059772610282699,0.00600971582661035,0.00541840060361471,0.00552797451568387,0.00519753823061357,0.00519572440667139,0.00480859703234347,0.00475109761875537,0.00457306658349567,0.00461955990139658,0.00440321641171649,0.0042513693040579,0.00445206800060205,0.0042298565351713,0.00405519900996336,0.00426072433501088,0.00385398426782951,0.0038117593198685,0.00401388658897759,0.0036534109153381,0.0036876204356859,0.00356671403941807,0.00343621908318213,0.00334626360030831,0.00340381136635913,0.00344525554091257,0.00317122264974282,0.00356942915330178,0.00315764026219054,0.00330648546404074,0.00318967742896069,0.003249055244236,0.00324994209156461,0.0030242911549141
