"y.1947","y.1948","y.1949","y.1950","y.1951","y.1952","y.1953","y.1954","y.1955","y.1956","y.1957","y.1958","y.1959","y.1960","y.1961","y.1962","y.1963","y.1964","y.1965","y.1966","y.1967","y.1968","y.1969","y.1970","y.1971","y.1972","y.1973","y.1974","y.1975","y.1976","y.1977","y.1978","y.1979","y.1980","y.1981","y.1982","y.1983","y.1984","y.1985","y.1986","y.1987","y.1988","y.1989","y.1990","y.1991","y.1992","y.1993","y.1994","y.1995","y.1996","y.1997","y.1998","y.1999","y.2000","y.2001","y.2002","y.2003","y.2004","y.2005","y.2006","y.2007","y.2008","y.2009","y.2010","y.2011","y.2012","y.2013","y.2014"
2.28322365871547e-05,2.14559338064084e-05,1.75016765054954e-05,1.00051713476996e-05,6.64096117389168e-06,8.46134297209852e-06,9.0689813476823e-06,9.93091196270372e-06,1.0524267130183e-05,1.04724649618195e-05,1.06577455426519e-05,1.06289211922345e-05,7.06497262732094e-06,5.47320343457779e-06,4.35900803543854e-06,4.67734280642815e-06,4.45874319984947e-06,3.38483124327895e-06,1.85959863191926e-06,1.60283950341544e-07,1.00284282810325e-05,4.22898573157743e-06,2.6754880932274e-06,2.42338192057745e-06,4.70925869065086e-07,-3.26113745072633e-07,-1.38918842212396e-06,1.70812774256917e-07,3.20293763219342e-06,6.49209326139846e-06,7.47563793195166e-06,8.22255127956097e-06,8.69014465874478e-06,8.96996076301833e-06,9.76680758258921e-06,9.88847468143854e-06,9.49889700491104e-06,8.28156409884153e-06,8.05916708435256e-06,8.77709232132235e-06,9.42456742028941e-06,1.04934237243057e-05,1.13028000109731e-05,1.30580063527594e-05,1.43413470454789e-05,1.45310059579799e-05,1.48992262592636e-05,1.57912875630603e-05,1.60116686161344e-05,1.81340813313436e-05,1.89343857361625e-05,2.0268103788002e-05,2.10799761326587e-05,2.2102258772442e-05,2.26548700935631e-05,2.35527482177618e-05,2.409959462948e-05,2.53687145690713e-05,2.62583071885532e-05,2.73746847589065e-05,2.76135423951914e-05,2.87688583238338e-05,2.94116365201119e-05,3.03110303873156e-05,3.12880276294811e-05,3.17609830364939e-05,3.29614183715363e-05,3.40754486881275e-05
0.000187338540290457,0.000172899289700858,0.000154719079767811,0.000111942076915068,8.33471575475187e-05,7.67525515488776e-05,7.21048400711751e-05,7.08465970807331e-05,7.01238628287605e-05,6.61498601831122e-05,6.38146083233345e-05,5.84414800220733e-05,4.04528187464003e-05,2.89013938347184e-05,2.4348438235528e-05,2.48852706468644e-05,2.44987629295576e-05,1.81159838622921e-05,8.17270001926252e-06,4.16385249461935e-06,5.445963221225e-05,1.81528943927162e-05,1.17628495330976e-05,1.57083016700193e-05,-9.82856514904448e-07,-7.65942546911827e-06,2.98667962901302e-06,6.5647728063909e-06,1.60412671692687e-05,2.65994584075746e-05,2.80881596804634e-05,3.37159497559089e-05,3.77055904409207e-05,4.00171174171867e-05,4.57243178598819e-05,4.60097483979905e-05,4.3521439987125e-05,4.1110791714751e-05,4.10144675638179e-05,4.6059815229981e-05,4.92365900815344e-05,5.608322415044e-05,6.13933748154403e-05,7.16298992104277e-05,8.10069217511187e-05,7.86023134243974e-05,8.25609253427251e-05,9.12641118399883e-05,9.14083143210179e-05,0.000101819544050517,0.00010577448849089,0.000113370547302324,0.000118737853633151,0.000123684831588601,0.00012801236759101,0.00013082435361969,0.000135853184396021,0.000139706746995998,0.000146781871952853,0.000149564478900799,0.000152873844978744,0.000159391123417823,0.000163213164440937,0.00016790465585459,0.000171713177405169,0.000174809712786254,0.000180600436473158,0.000187351227747807
0.00108071805261596,0.000975898554580572,0.00095716024942995,0.000747623909364826,0.000603267262192521,0.000494070397601646,0.000435284395248237,0.000400886140848007,0.000375742196884342,0.000342488804316052,0.00032514268631552,0.000290670435688875,0.000229269403764625,0.000176206533302802,0.000165197108937575,0.000161346110144029,0.000167701665870625,0.000143308448146514,9.37780248654049e-05,9.33022307074901e-05,0.000284006716276452,8.94788479201989e-05,0.000106631772885388,0.000151904193659993,6.48262531975422e-05,2.523134225386e-05,0.000131302405567115,0.000114071083964743,0.000127807695957646,0.000146693725192208,0.000138433110705474,0.000168483393871834,0.000194640028728342,0.000212453869380886,0.000248234689040095,0.00025382225467824,0.00024858699200224,0.000262174440152137,0.000270746088644647,0.000299228196455018,0.000307380998859074,0.000336083685957627,0.000356391946322722,0.000395620802207182,0.000440600826606239,0.000413278032488517,0.000433042647032871,0.000477572844369621,0.000462234967055465,0.00049882939222855,0.000502871760128729,0.000532971738174568,0.000553589297547828,0.000571311550232415,0.00059181342231348,0.000593356501775348,0.000619170601962237,0.000617904633056407,0.00065135770617362,0.000646365694388159,0.000660887787726652,0.00068504778531919,0.000698693178607535,0.000716060201564339,0.000722693520945116,0.000738157461643813,0.000757316511711173,0.00078619803389429
0.00466070127630581,0.00424854959325023,0.00429894725467077,0.00350744986613744,0.00292414147840898,0.00233047254259204,0.00197764815843825,0.00175977278614358,0.00162571201696031,0.00148173376082772,0.00141850807433848,0.00128042799518308,0.001118282668592,0.000946126074951475,0.000938323871650266,0.000916387536835366,0.00095264514117538,0.000880088851239339,0.00070721541667864,0.000763565724917977,0.00127593489864832,0.000592962089967332,0.000785231741582024,0.00102658967407988,0.000700337613375645,0.000498187444636408,0.000977284736641696,0.000864076308439094,0.000862079652951635,0.000859165796832998,0.000776651302545977,0.000865053096573761,0.000965904504031759,0.00103764675826111,0.00117587054252951,0.00119232812296307,0.00117991132562072,0.00126652983254112,0.00130800491191304,0.00139647290999974,0.00137994446217337,0.0014476757989992,0.0014833491669467,0.00157673306675196,0.00170902096666139,0.00156647713006516,0.00162703922571432,0.00178025249337058,0.0016879037625939,0.00178715217897889,0.00176146542521312,0.00184711714045229,0.00190135392074188,0.00195094611049529,0.00201584138448007,0.00199906312599725,0.00208839023300816,0.00204494814687643,0.002155318660533,0.00210042469561736,0.00214745518241675,0.00222713320445631,0.0022735779328563,0.00233199454389642,0.00233841609725614,0.00239552221910414,0.002447275184976,0.00253944258884559
0.0148276595146861,0.013784372871864,0.0139157078868749,0.0120792067678583,0.0100881154899517,0.00795454782285668,0.00651540654749613,0.00560019679895948,0.0051296939662516,0.00467837794511942,0.00441108111787426,0.00391648498184756,0.00365258857754998,0.00329046645062608,0.00332608147601456,0.00322397788102089,0.00328092252677565,0.00318666951213188,0.00288993302618643,0.00323076387313423,0.00372830184399714,0.00248213950783151,0.00310317973846274,0.00387702367591448,0.00318042309913707,0.00251658557006775,0.00380626837425583,0.00348586777326844,0.0032824177934624,0.00297020632313853,0.00256638057079956,0.00264723545663993,0.00286091765555031,0.00302477097483648,0.00331677250243892,0.00333098657155188,0.00331424982811377,0.00360339169028009,0.00373656862480258,0.00388434850506722,0.00373320515016014,0.00378183743748775,0.00378157604815492,0.00387122989458776,0.00408159189716574,0.00368224855962144,0.00380759976672941,0.00414165746346629,0.00393110791597302,0.00405691114574623,0.00395803691349752,0.00408250907988484,0.00416895453207226,0.00423274835785606,0.00436895821816226,0.00429009787526791,0.00448320400955487,0.00430820825140202,0.00453918567204916,0.00433473365911235,0.00448827867127616,0.00470010007678836,0.00484985850228388,0.00498506191782783,0.00498195529281936,0.00511551737271118,0.00521033493138884,0.00541803451132615
0.0357840608307136,0.0334706678060302,0.0341552346204764,0.0309256072273798,0.0260108996019761,0.0205249941973537,0.0166962399452992,0.0142386054458917,0.0130441823342029,0.0119520898241665,0.0111682342879911,0.00988471420417857,0.00963727113265303,0.00902284475705716,0.00917050271725832,0.00880573786354687,0.00883972292078898,0.00881041899987578,0.00844084562342594,0.0094012235965524,0.00915747288932497,0.00724940165132396,0.00853408844835883,0.01038255679797,0.00929916055426112,0.00781693128858148,0.0106413062935167,0.00985764094871686,0.00903652686653531,0.00786435885366316,0.00672748598498619,0.00662975098086557,0.00693766482536312,0.00721022334911197,0.00768741116613446,0.00769489922783278,0.0076842163392686,0.00842163951842157,0.00873582666629563,0.0089361148651628,0.00850614407093,0.00842675880955946,0.00832083316195133,0.00832291894794435,0.00863621909098703,0.00781433940144818,0.00807215032292799,0.00869800411292208,0.00832365902840888,0.00836120284918165,0.00814593896278664,0.00826341539981263,0.00839386269732987,0.00844479579551329,0.00873279557946124,0.00853479579221207,0.00892218253274822,0.00844164319643441,0.00884563518363187,0.00831510214498694,0.00869503331128717,0.00909593701138187,0.00943266603322906,0.00964535847115089,0.00954725381292922,0.00977453328807818,0.00986461163533706,0.0102297150439776
0.0712759722490464,0.0671543296701608,0.069175849779022,0.0652617392727848,0.0553231720098167,0.0441574701288821,0.0360772788524089,0.0308951693413174,0.0285388313670323,0.0264353652729925,0.0246181472634504,0.0219268548395899,0.0220735396162241,0.0213320851570859,0.0216780984582284,0.0207025212899642,0.0205038929349264,0.0207821203654835,0.0207031610884622,0.0227245400120059,0.0198619192697438,0.018134124571831,0.019811117301938,0.0233180272265657,0.0224126353763219,0.0198126243007692,0.0246553218294107,0.0232319465954106,0.0211083383323431,0.018151490591433,0.0156693315162109,0.0148639739832846,0.0149775984676257,0.0152045250428338,0.0156447865288939,0.0155838290898261,0.0155558572704975,0.0169561906308675,0.017489702581786,0.0175648102700139,0.0166530335028537,0.0161520223045123,0.0157921748000673,0.0154925565953766,0.0158179229392262,0.0145768629950791,0.0150424916097226,0.0159684817862918,0.0155794234464041,0.0152229896701558,0.0149628681848252,0.0149041581793899,0.0150826304576897,0.0150505610995251,0.0155999918979736,0.0152859299938244,0.0159485067242876,0.0149864193753239,0.0155180360052598,0.0144958616672976,0.0152867003234694,0.0158772134570782,0.0165111434805238,0.0167170870287873,0.0163665655727089,0.0166097189294221,0.0165343585203489,0.0170021274069454
0.116741884319225,0.111564274478418,0.116034330119024,0.113799476957107,0.0974217575050665,0.0794874532253639,0.0654702470307627,0.056703418074267,0.0533035827944304,0.0503227510574471,0.0472968154408614,0.0430266075361616,0.0442460733812111,0.0440254915515662,0.0446950222019969,0.0427374488366826,0.041838567383978,0.0427334164330993,0.0436775665885093,0.0469629892913768,0.0386405321466384,0.0395637462803331,0.0403737333580757,0.0458265289823931,0.0465990226559381,0.0426570169549625,0.0485878351153083,0.0470422757342486,0.0434133466095158,0.0380920491176454,0.0337030287411268,0.0309641103481364,0.0299997176208342,0.0295833389097237,0.0292339839087901,0.0287920305858288,0.0284760772392511,0.0301058445815262,0.030497928732486,0.0297193053642523,0.0278412283515526,0.026160439933183,0.0250406208789714,0.0239157526289817,0.0237390314973346,0.0224396457069878,0.0230225576476249,0.0238844014488544,0.023874439365273,0.0227261992509227,0.0226524515396608,0.0220964368188275,0.0222695648737121,0.0221542309251532,0.0230184610174146,0.0228859023673429,0.0238021740509312,0.0224678295387204,0.0228007392098268,0.0214318534983481,0.0226969928778952,0.0233576293813726,0.0243859409552587,0.0244355774889339,0.023695392155209,0.0236797606560745,0.023132361281407,0.0233626476109412
0.159046394291552,0.154965173614508,0.163838571152456,0.166060730905924,0.144780272833469,0.121579207893926,0.101621399558629,0.0896998490610427,0.0862180142093224,0.0832604455739689,0.0798483889921273,0.0748846813353869,0.0780620215653062,0.079276707545955,0.0806121643304297,0.0775942761041742,0.0756752207954912,0.0771586411978967,0.0794800483520959,0.0838826079745827,0.0683506616435808,0.0741061514204186,0.0726954325863043,0.0801025400222853,0.0836856698508278,0.0782271487457731,0.0839889233395778,0.0832079780476222,0.0787516511814753,0.0715101979939566,0.0650802288352713,0.0591405359486074,0.0560140680053341,0.0541028487665556,0.0520926417639893,0.0506808912175127,0.0494660584492478,0.0502783651482556,0.0496942912008983,0.0469518297127587,0.0433044564390017,0.039475187888095,0.0367526208576705,0.0341309171702108,0.032749317221734,0.0316351731654499,0.0320969108133464,0.0324522345112348,0.0329110628405748,0.0307500934583572,0.0309458406662528,0.0296377871102293,0.0297242571846891,0.0296938899379002,0.030853254993073,0.0313261788910296,0.0324963796666994,0.0310527210394767,0.0307796599460925,0.0293788812977687,0.0308696274531896,0.0312719452056418,0.0325932361261912,0.0323363592481243,0.0310471455884038,0.0304102249507375,0.0289553645895637,0.0283209550932947
0.199139238109683,0.199399194540311,0.209707545414036,0.217983890540563,0.193298203369457,0.167713615580221,0.142360686606064,0.127724452020144,0.124928977346677,0.122879383377518,0.11979247147145,0.11504479885046,0.12045725100847,0.124140240491061,0.126167338491232,0.122620543650989,0.11945186428205,0.121895428903085,0.126633574903123,0.132095318956685,0.106189941127321,0.121520615362271,0.118220920090944,0.126601484584331,0.134392986876482,0.127171052423179,0.12892925845701,0.130388284182422,0.126119624096351,0.117459483752001,0.109183098101275,0.0992611886859687,0.0936177907685353,0.0899546151920892,0.0856181625243442,0.0829743805885244,0.0808972290988201,0.0799347763317916,0.078113343857433,0.0725974158850422,0.0666349129789907,0.0598457908314405,0.0548018598694111,0.0496474607448075,0.0455621135877873,0.0451287195734319,0.0447164290742791,0.0433253539126349,0.0446892573591825,0.0412013255820717,0.0415579408676323,0.0389257913090711,0.038354974094822,0.0381263950129765,0.0388779177765154,0.0401447078046841,0.0407336946094669,0.0397216840308331,0.0380591579609972,0.0371628897761664,0.0385394897549775,0.038759008253469,0.0404435022211637,0.0399716484173193,0.0386312789328839,0.0372489643385765,0.0350053771949202,0.0331832670536578
