"y.1997","y.1998","y.1999","y.2000","y.2001","y.2002","y.2003","y.2004","y.2005","y.2006","y.2007","y.2008","y.2009","y.2010","y.2011","y.2012","y.2013","y.2014","y.2015"
-0.00953079750106517,-0.0120519523244105,-0.0151256253689188,-0.012165067144018,-0.0216674566259797,-0.0317649853594167,-0.0308457941408008,-0.0303165558947821,-0.0316048486901594,-0.0279551489695921,-0.0344248592806387,-0.0411371164683834,-0.0436145917788193,-0.0475867040121251,-0.0518485151706961,-0.0560708367502893,-0.050364830011251,-0.0536592284821606,-0.0570361234146378
3.15777246677079e-05,-0.000355369040090369,-0.00082711628444184,-0.000372729899125285,-0.00183115634460528,-0.00338092474410036,-0.00323984730413356,-0.00315861983440942,-0.00335634697302716,-0.00279619117214776,-0.00378916211173473,-0.0048193591384987,-0.00519960197295864,-0.00580924163637851,-0.00646334428193946,-0.00711138606813325,-0.00623562832929317,-0.00674125250530111,-0.00725953823569358
-0.00013092736346941,-0.000332711951686994,-0.000578718204003786,-0.000341765274031359,-0.00110230394898528,-0.00191047552917734,-0.00183690661550962,-0.00179454820080498,-0.00189765873920259,-0.00160554928665604,-0.00212336271838704,-0.00266058877055086,-0.00285887740031149,-0.00317679164497818,-0.00351789239838303,-0.00385583254127751,-0.00339914332507308,-0.00366281568375633,-0.00393309077638227
0.000652560581973082,0.000531691340140249,0.000384333261575773,0.000526268387785475,7.07046906853528e-05,-0.000413391181212084,-0.000369323302212852,-0.000343950554393924,-0.000405713906645864,-0.000230739948657387,-0.0005409108960872,-0.000862710029467344,-0.000981485187446182,-0.00117191625088938,-0.00137623606449276,-0.00157866266811667,-0.0013051052086325,-0.0014630453088544,-0.00162494045565704
0.00109764467490511,0.00104047633008898,0.000970779380566731,0.00103791139954555,0.000822440348957265,0.000593474242203885,0.000614317325719109,0.000626318046284985,0.000597105414808218,0.000679864034060271,0.000533160378062027,0.000380956860114505,0.000324778968336915,0.000234709497117107,0.000138070969566816,4.23278863766818e-05,0.000171714212737889,9.70122126850802e-05,2.0439567435339e-05
0.00105361712631545,0.00102725524829822,0.000995116090038741,0.00102607248909247,0.000926712929704834,0.000821130433032513,0.00083074174549745,0.000836275604011177,0.000822804865440216,0.000860967114716688,0.000793318070537693,0.000723132890490416,0.00069722773729648,0.000655694255419242,0.000611131603076611,0.000566981864472685,0.000626645417153827,0.00059219829402356,0.000556888565536192
0.000755707901850626,0.000731552731187567,0.000702103886449811,0.000730468978715549,0.000639426636722813,0.00054268226879555,0.000551489034866423,0.000556559663625761,0.000544216537353557,0.000579184290544629,0.000517198031209505,0.000452887931566683,0.000429151254079464,0.000391094468355765,0.000350262078803261,0.000309808038692365,0.000364477258253879,0.000332913644405146,0.000300559632406401
0.000580694465874522,0.000554666154963447,0.000522933665986315,0.000553498361670417,0.000455396037471842,0.000351149517236852,0.000360639214023153,0.000366103050470582,0.000352802762399386,0.000390482129877873,0.000323689075392999,0.000254391975754392,0.000228814610549596,0.00018780666798898,0.00014380788423623,0.000100216789463889,0.00015912539598386,0.000125114145714023,9.02512049685104e-05
0.000371399060773604,0.000355295125441087,0.00033566196706314,0.000354572601888292,0.000293875867080528,0.000229377666400514,0.00023524902178327,0.000238629543443606,0.000230400543116457,0.000253713085344679,0.000212387659589599,0.000169512959993309,0.000153688028569927,0.000128316068884491,0.000101093650546072,7.41234728159161e-05,0.000110570724163398,8.9527676967797e-05,6.79576816966765e-05
0.000396523603966061,0.000385158414136022,0.000371302510760776,0.000384648500430793,0.00034181239242924,0.000296293438255095,0.000300437088059121,0.000302822857102586,0.000297015323173866,0.000313467914566824,0.000284302912421959,0.000254044525899891,0.000242876240262845,0.000224970235784375,0.000205758288787535,0.00018672435805421,0.000212446637844469,0.000197595719665634,0.000182372913200788
0.000291688518693637,0.000296522343731101,0.000302415515218208,0.000296739219443002,0.000314958206935682,0.000334318258431222,0.000332555887677304,0.00033154117606154,0.000334011227449188,0.00032701363661298,0.000339418050414579,0.000352287500775808,0.000357037578825118,0.000364653333076771,0.00037282452878934,0.000380920010898836,0.000369979850467712,0.000376296220118876,0.000382770760723182
0.000298111457485204,0.000326361897516468,0.000360803501505063,0.000327629389460389,0.000434107056650093,0.000547253471660586,0.00053695360583786,0.000531023302314666,0.000545459083101117,0.000504562894523853,0.000577058308716368,0.000652271547269166,0.000680032542761517,0.000724541478668737,0.000772296594477146,0.000819609215452456,0.000755671372482027,0.000792586283688483,0.000830425597204043
0.000365276634823141,0.000426286116200498,0.000500665998242087,0.000429023384224041,0.00065897191763893,0.000903322238974023,0.000881078710327905,0.000868271662297503,0.000899447088169946,0.00081112792384372,0.000967688586871523,0.00113011864713746,0.00119007112701505,0.00128619235887382,0.00138932402143774,0.00149150007480585,0.0013534202914221,0.00143314151294306,0.0015148590681636
0.000387291657754822,0.000474531638884042,0.000580890509000748,0.000478445771660265,0.000807258691601791,0.0011566653238323,0.00112485838209923,0.00110654505434641,0.00115112408539873,0.00102483285893326,0.00124870542725824,0.00148097088948651,0.00156669942044747,0.00170414714601671,0.00185161937644351,0.00199772514175167,0.00180027914770661,0.0019142758200938,0.00203112713261802
0.000138598377689524,0.000264213620921956,0.000417357800536661,0.000269849508669354,0.000743301180503644,0.00124640535964887,0.00120060712963364,0.00117423810604733,0.00123842663241128,0.00105658221973215,0.00137893221063319,0.00171336697499979,0.00183680590895221,0.00203471435936271,0.00224705690982307,0.00245743191230799,0.00217313305934857,0.00233727476988372,0.00250552682421438
